"log_stars","Stars","Forks","Issues","Size","language","age_group","created_year","log_size"
8.36194190614495,4280,420,108,30988,"Python","Old",2015,10.3413875817875
5.97380961186926,392,103,45,115616,"C","Old",2017,11.6580382832319
5.19295685089021,179,69,0,3930,"","Old",2015,8.27664912542186
6.1463292576689,466,51,18,1315,"Java","Old",2014,7.18235211188526
6.22455842927536,504,82,16,549,"PHP","Old",2012,6.30991827822652
6.62936325343745,756,144,1,33503,"Jupyter Notebook","Old",2018,10.4194201136703
5.51342874616498,247,4,1,28,"Ruby","New",2019,3.36729582998647
6.08677472691231,439,230,0,75701,"Java","Old",2013,11.2345598591558
7.45876269238096,1734,98,51,1852,"JavaScript","Old",2018,7.52456122628536
5.23110861685459,186,33,5,8682,"JavaScript","New",2019,9.06912237006065
8.57885257180297,5317,664,18,356861,"TypeScript","Old",2014,12.7851044314084
5.88332238848828,358,199,2,35064,"Jupyter Notebook","Old",2018,10.464958760971
5.85793315448346,349,64,15,9159,"Python","New",2022,9.12260145766818
6.99117688712121,1086,237,8,10189,"Python","Old",2016,9.22916212621677
9.69214904667168,16189,1811,6,2544,"C++","Old",2018,7.84188592898462
5.28320372873799,196,0,1,80226,"Shell","New",2021,11.292615395552
6.55677835615804,703,38,7,119,"JavaScript","Old",2015,4.78749174278205
5.54126354515843,254,61,4,128,"JavaScript","Old",2015,4.85981240436167
5.23110861685459,186,24,7,370,"JavaScript","New",2021,5.91620206260743
5.62762111369064,277,30,83,5173,"JavaScript","Old",2018,8.55140136274597
5.4380793089232,229,17,2,1198,"Swift","Old",2017,7.08924315502751
8.93695560422523,7607,425,57,11627,"C#","Old",2016,9.36117126167877
6.53087762772588,685,305,0,2745,"Java","Old",2015,7.91790058632792
5.13579843705026,169,28,0,70,"","New",2021,4.26267987704132
8.9095055129461,7401,1260,189,52822,"Go","Old",2018,10.8747019809062
7.22766249872865,1376,197,33,1096,"Swift","Old",2016,7.00033446027523
5.77455154554441,321,15,10,10173,"C","New",2021,9.22759072538271
6.27664348934164,531,43,9,232,"Go","New",2021,5.4510384535657
5.13579843705026,169,228,8,8181,"Python","Old",2016,9.00969189848934
6.33150184989369,561,7,1170,129,"","Old",2013,4.86753445045558
6.10031895202006,445,178,17,57264,"Python","Old",2013,10.9554448958318
5.92425579741453,373,72,0,99360,"C","Old",2017,11.5065149615289
5.3082676974012,201,36,34,26881,"JavaScript","New",2022,10.1992121966311
7.86288203464149,2598,90,34,452,"Shell","Old",2015,6.11589212548303
7.40306109109009,1640,156,7,271228,"Go","Old",2018,12.5107187614849
5.37989735354046,216,171,41,4048,"C++","Old",2012,8.30622521603216
7.28824440102012,1462,317,10,113200,"Python","Old",2017,11.6369202786345
5.2257466737132,185,10,92,40716,"Python","Old",2015,10.61440097464
7.2291138777933,1378,183,48,7927,"JavaScript","Old",2014,8.97815607600982
7.40184157874383,1638,393,13,1341,"CSS","Old",2013,7.20191631753163
7.75619534394812,2335,65,28,2159,"HTML","New",2019,7.67786350067821
6.22653666928747,505,111,21,12575,"Python","Old",2018,9.43954551466899
5.51745289646471,248,18,0,2531,"Swift","New",2022,7.83676478326407
5.21493575760899,183,20,0,23,"Python","Old",2014,3.17805383034795
5.24174701505964,188,20,23,1016,"JavaScript","New",2022,6.92461239604856
6.89467003943348,986,158,263,9808,"Java","Old",2016,9.19105561056432
5.36129216570943,212,37,1,356,"JavaScript","Old",2015,5.87773578177964
5.27811465923052,195,5,24,63079,"Python","New",2020,11.052159041077
6.33505425149806,563,82,11,457,"Rust","Old",2015,6.12686918411419
6.3491389913798,571,78,47,51660,"Kotlin","Old",2017,10.8524584237989
7.65775527113487,2116,1225,87,367,"JavaScript","Old",2009,5.90808293816893
5.66642668811243,288,115,147,381982,"C++","Old",2015,12.8531313839806
5.20948615284142,182,44,15,3685,"HTML","New",2021,8.21229713822977
5.87211778947542,354,246,7,24453,"Python","Old",2013,10.1045490807041
5.84643877505772,345,59,4,15428,"Python","New",2022,9.64400413444303
5.8805329864007,357,74,3,292,"Objective-C","Old",2014,5.68017260901707
7.06817200038804,1173,300,6,9268,"Jupyter Notebook","Old",2015,9.13443077787583
5.92425579741453,373,72,23,6319,"Java","New",2020,8.7514744871409
5.65599181081985,285,88,3,20808,"CSS","New",2019,9.94314086441278
5.86929691313377,353,124,25,1609,"PHP","Old",2014,7.38398945797851
5.18178355029209,177,26,28,2219,"TypeScript","Old",2018,7.70526247486633
6.22257626807137,503,26,50,3980,"JavaScript","New",2019,8.28928832300032
5.7037824746562,299,70,7,19412,"HTML","New",2020,9.87369822372538
6.3456363608286,569,188,15,16489,"","Old",2018,9.71050941555364
6.80572255341699,902,101,79,635,"Go","New",2019,6.45519856334012
5.48479693349065,240,50,1,81710,"Jupyter Notebook","New",2020,11.310943910708
5.64190707093811,281,16,0,3042,"JavaScript","Old",2016,8.02059914989697
6.59850902861452,733,178,19,43139,"Python","New",2020,10.6722059199431
9.29523283899415,10885,9276,2461,662606,"PHP","Old",2011,13.4039373332352
5.46806014113513,236,96,1,910,"Java","Old",2013,6.81454289725996
7.79069603117474,2417,196,12,91,"HTML","New",2019,4.52178857704904
8.53149049611706,5071,407,162,6604,"Python","Old",2018,8.79558221695643
6.30809844150953,548,16,23,24,"","Old",2018,3.2188758248682
6.0137151560428,408,142,1,267083,"Java","Old",2015,12.4953184946456
5.91079664404053,368,78,18,236,"Java","Old",2014,5.46806014113513
8.3133619511344,4077,687,182,5034,"Objective-C","Old",2012,8.52416880515266
5.25227342804663,190,87,33,3321,"Python","Old",2016,8.10832229017324
7.70029520342012,2208,828,45,360,"Jupyter Notebook","Old",2016,5.88887795833288
6.25958146406492,522,48,17,381,"Go","New",2020,5.94542060860658
5.33271879326537,206,57,7,375,"TypeScript","New",2021,5.9295891433899
6.76041469108343,862,62,55,5934,"","Old",2015,8.68862230704377
7.04664727784876,1148,146,45,295634,"TypeScript","New",2023,12.5968808642947
5.66988092298052,289,37,16,399,"Go","Old",2015,5.99146454710798
5.20948615284142,182,11,6,113561,"Java","New",2021,11.640104222267
5.41610040220442,224,34,8,699,"Python","New",2019,6.5510803350434
7.14598446771439,1268,215,13,528,"Java","New",2021,6.2709884318583
6.17586727010576,480,47,19,1878,"JavaScript","Old",2013,7.53849499941346
5.68697535633982,294,101,1,10078,"HTML","Old",2017,9.21820933035488
5.28826703069454,197,175,8,377,"HTML","Old",2016,5.93489419561959
6.86901445066571,961,451,32,7683,"Java","Old",2015,8.94689552388845
5.31811999384422,203,47,10,1737,"Python","Old",2018,7.46049030582534
6.27664348934164,531,1,0,139,"JavaScript","New",2022,4.9416424226093
6.31716468674728,553,30,10,439,"Go","New",2020,6.08677472691231
5.28320372873799,196,87,1,32,"","Old",2018,3.49650756146648
6.45047042214418,632,213,38,1116,"JavaScript","New",2019,7.0184017990692
7.37963215260955,1602,42,13,2543,"Swift","Old",2017,7.84149292446001
6.3135480462771,551,177,45,135505,"Swift","New",2019,11.8167711987643
5.54907608489522,256,20,1,374,"Shell","Old",2013,5.92692602597041
5.62401750618734,276,4,2,18,"Go","Old",2016,2.94443897916644
5.68357976733868,293,67,13,547,"Python","New",2019,6.30627528694802
5.73334127689775,308,109,8,7911,"C++","New",2020,8.97613587330255
5.67675380226828,291,53,1,1817,"TypeScript","Old",2017,7.50549227473742
5.48893772615669,241,40,28,681,"C#","Old",2017,6.52502965784346
5.47646355193151,238,38,0,16,"Objective-C","Old",2014,2.83321334405622
8.51479030679993,4987,480,96,23181,"Python","Old",2016,10.0511313944487
5.21493575760899,183,20,167,136933,"C#","Old",2018,11.8272543369058
6.93828448401696,1030,260,90,877,"Java","Old",2017,6.77764659363512
5.23110861685459,186,24,2,16526,"","New",2021,9.71275068614083
5.85793315448346,349,29,19,22965,"Rust","New",2019,10.0417701403361
5.62762111369064,277,13,18,662,"TypeScript","New",2022,6.49677499018586
6.08449941307517,438,33,0,6625,"Vue","New",2022,8.79875658285984
7.96346006663897,2873,538,15,60,"","Old",2014,4.11087386417331
7.4205789054108,1669,45,7,203,"Python","New",2023,5.31811999384422
5.30330490805908,200,102,2,48,"HTML","Old",2018,3.89182029811063
6.11589212548303,452,16,0,20978,"PHP","Old",2017,9.95127721637198
5.18738580584075,178,27,8,11223,"CSS","New",2020,9.3258096217823
7.02642680869964,1125,90,18,445,"Ruby","Old",2011,6.10031895202006
5.79605775076537,328,31,3,1896,"CSS","Old",2017,7.54802896993501
6.04973345523196,423,35,1,13,"","Old",2015,2.63905732961526
7.70706265537047,2223,443,78,721,"JavaScript","Old",2015,6.58202513889283
6.07764224334903,435,38,19,670,"JavaScript","Old",2016,6.50876913697168
7.56992765524265,1938,286,1,140,"","New",2023,4.94875989037817
6.0282785202307,414,106,3,27088,"Go","Old",2018,10.2068830204074
5.84643877505772,345,48,2,7162,"TypeScript","New",2021,8.87668416661445
5.31811999384422,203,24,83,15851,"Java","New",2021,9.67105095431033
6.17586727010576,480,55,1,27,"JavaScript","New",2019,3.3322045101752
6.06610809010375,430,143,25,52,"Python","Old",2014,3.97029191355212
7.10002716662926,1211,175,5,527,"JavaScript","Old",2012,6.26909628370626
